station,lat,lon,state,obszar
KOèLE,50.3358594,18.1444165,opolskie,Wyzynny
BRZEG,50.8588648,17.4641245,opolskie,Wyzynny
BRZEG DOLNY,51.2691744,16.7083805,dolnoúlπskie,Wyzynny
KOSTRZYN NAD ODR•,52.5898737,14.6536335,lubuskie,Pojezierza
GOZDOWICE,52.765851,14.3223027,zachodniopomorskie,Pojezierza
WIDUCHOWA,50.4852832,20.7923885,úwiÍtokrzyskie,Wyzynny
BRANICE,50.0508,17.7902,opolskie,Wyzynny
ISTEBNA,49.5748339,18.8935401,úlπskie,Wyzynny
CIESZYN,49.7488623,18.6334308,úlπskie,Wyzynny
GO£KOWICE,51.1373081,18.1998348,opolskie,Wyzynny
RYBNIK,50.0955793,18.5419933,úlπskie,Wyzynny
TWOR”G MA£Y,50.2550733,18.4646542,úlπskie,Wyzynny
KAMIONKA,49.4939,21.7744,podkarpackie,GÛrski
RAC£AWICE åL•SKIE,50.3109023,17.7724454,opolskie,Wyzynny
PRUDNIK,50.3217212,17.5801041,opolskie,Wyzynny
JARNO£T”WEK,50.2845253,17.4260301,opolskie,Wyzynny
DOBRA,50.3200,17.7333,Opolskie,Wyzynny
KRUPSKI M£YN,50.5737746,18.6234495,úlπskie,Wyzynny
MI DZYLESIE,50.1444,16.6634,dolnoúlπskie,Wyzynny
NYSA,50.4738029,17.3324733,opolskie,Wyzynny
KOPICE,50.6487216,17.4511936,opolskie,Wyzynny
L•DEK-ZDR”J,50.3458254,16.8725948,dolnoúlπskie,Wyzynny
ØELAZNO,50.371621,16.6729932,dolnoúlπskie,Wyzynny
G£UCHO£AZY,50.3170828,17.3833809,opolskie,Wyzynny
BOR”W,50.5970471,20.211177,úwiÍtokrzyskie,Wyzynny
LUBACH”W,50.7698484,16.4316751,dolnoúlπskie,Wyzynny
DZIERØONI”W,50.7281896,16.6514455,dolnoúlπskie,Wyzynny
NAMYS£”W,51.0766258,17.7185619,opolskie,Wyzynny
åWIERZAWA,51.0150774,15.8920701,dolnoúlπskie,Wyzynny
JAWOR,51.0504653,16.1932008,dolnoúlπskie,Wyzynny
WINNICA,52.6441741,20.9405089,mazowieckie,Pojezierza
ODOLAN”W,51.5742177,17.673514,wielkopolskie,Nizinny
OSETNO,51.6354861,16.4581807,dolnoúlπskie,Nizinny
BUK”WKA,50.9501445,21.141585,úwiÍtokrzyskie,Wyzynny
KAMIENNA G”RA,50.7837361,16.0336631,dolnoúlπskie,Wyzynny
PILCHOWICE,50.2147849,18.5626191,úlπskie,Wyzynny
ØAGA—,51.6153231,15.3007662,lubuskie,Nizinny
NOWOGR”D BOBRZA—SKI,51.7986474,15.2365032,lubuskie,Nizinny
KOWARY,50.7937534,15.8338236,dolnoúlπskie,Wyzynny
JAKUSZYCE,50.8167267,15.4315515,dolnoúlπskie,Wyzynny
MIRSK,50.9721836,15.3857926,dolnoúlπskie,Wyzynny
GRYF”W åL•SKI,51.0281455,15.4145051,dolnoúlπskie,Wyzynny
NOWOGRODZIEC,51.1971363,15.3987046,dolnoúlπskie,Wyzynny
SIENIAWKA,50.8965,15.0179,dolnoúlπskie,Wyzynny
BOGATYNIA,50.9077,14.998,dolnoúlπskie,Wyzynny
MACZK”W,52.274152,14.7480012,lubuskie,Nizinny
BOBRY,53.7389228,22.3525576,warmiÒsko-mazurskie,Pojezierza
OSJAK”W,51.2888829,18.7912573,≥Ûdzkie,Wyzynny
åREM,52.0893322,17.0156809,wielkopolskie,Nizinny
WRONKI,52.7100316,16.3742572,wielkopolskie,Pojezierza
SKWIERZYNA,52.5967483,15.5010958,lubuskie,Pojezierza
NIWKI,51.0550149,17.566792,opolskie,Wyzynny
WIDAWA,51.4375,18.94412,≥Ûdzkie,Wyzynny
D•BIE,52.0871691,18.8220738,wielkopolskie,Nizinny
POWIDZ,52.4125881,17.9169686,wielkopolskie,Nizinny
MIRK”W,51.1662782,17.1588597,dolnoúlπskie,Wyzynny
KONOJAD,52.1610783,16.5360801,wielkopolskie,Nizinny
MI DZYRZECZ,52.4431,15.5783,lubuskie,Nizinny
PAKOå∆,52.8073319,18.0899612,kujawsko-pomorskie,Pojezierza
KRZYØ,52.8796439,16.0141705,wielkopolskie,Pojezierza
G•BICE,51.3333,17.1,dolnoúlπskie,Wyzynny
ØNIN,52.8469452,17.72395,kujawsko-pomorskie,Pojezierza
WYRZYSK,53.1569822,17.2627004,wielkopolskie,Pojezierza
DRAWSKO POMORSKIE,53.5310786,15.8134179,zachodniopomorskie,Pojezierza
MYåLIB”RZ,52.924825,14.8664799,zachodniopomorskie,Pojezierza
ØELEWO,53.2927778,14.8672222,zachodniopomorskie,Pojezierza
I—SKO,53.435721,15.548315,zachodniopomorskie,Pojezierza
WOLIN,53.843788,14.6157008,zachodniopomorskie,Pojezierza
TRZEBIAT”W,54.0627026,15.2657157,zachodniopomorskie,Nadmorski
SMO£DZINO,54.6627685,17.2160201,pomorskie,Nadmorski
IZBICA,50.8927773,23.1587974,lubelskie,Wyzynny
WEJHEROWO,54.6026348,18.247934,pomorskie,Nadmorski
SKOCZ”W,49.7999039,18.7877583,úlπskie,Wyzynny
JAWISZOWICE,49.96214,19.1394723,ma≥opolskie,Wyzynny
ANNOPOL,50.8851655,21.8550836,lubelskie,Wyzynny
GRUDZI•DZ,53.4725119,18.7618937,kujawsko-pomorskie,Pojezierza
BIERU— STARY,50.0923372,19.0920862,úlπskie,Wyzynny
PIWO—,50.4844444,19.2497222,úlπskie,Wyzynny
BRYNICA,50.3499995,19.0522414,úlπskie,Wyzynny
GOLCZOWICE,50.7783298,17.7353744,opolskie,Wyzynny
RAJCZA,49.503221,19.1013077,úlπskie,Wyzynny
OåWI CIM,50.0344,19.2106,ma≥opolskie,Wyzynny
KAMESZNICA,49.571292,19.0478818,úlπskie,Wyzynny
ØABNICA,53.28992,14.49997,zachodniopomorskie,Pojezierza
PEWEL MA£A,49.6628216,19.2795105,úlπskie,Wyzynny
OSIELEC,49.6716358,19.7668341,ma≥opolskie,Wyzynny
ZAWOJA,49.6600228,19.5579106,ma≥opolskie,Wyzynny
OJC”W,50.2096249,19.8294802,ma≥opolskie,Wyzynny
STR”ØA,50.8954225,21.6444893,úwiÍtokrzyskie,Wyzynny
LUBIE—,52.0251995,19.2073561,≥Ûdzkie,Nizinny
KOåCIELISKO-KIRY,49.2775225,19.8658194,ma≥opolskie,GÛrski
SZAFLARY,49.4229109,20.0260584,ma≥opolskie,GÛrski
£ABOWA,49.5275011,20.8553116,ma≥opolskie,Wyzynny
CI ØKOWICE,49.8,20.9667,ma≥opolskie,Wyzynny
RAK”W,50.6750443,21.0423365,úwiÍtokrzyskie,Wyzynny
GORLICE,49.65829,21.1593832,ma≥opolskie,Wyzynny
ZBOISKA,49.5097735,22.1100398,podkarpackie,Wyzynny
JAS£O,49.7470465,21.4743139,podkarpackie,Wyzynny
POLANA,49.3025,22.5739,podkarpackie,GÛrski
CISNA,49.2131799,22.3283323,podkarpackie,GÛrski
KALNICA,49.3603,22.2031,podkarpackie,GÛrski
SZCZAWNE,49.4043963,22.1462558,podkarpackie,GÛrski
ØARNOWA,49.8667,21.7833,podkarpackie,Wyzynny
BRODY I£ØECKIE,51.0215143,21.2002986,úwiÍtokrzyskie,Wyzynny
W•SOSZ,51.5638134,16.6925804,dolnoúlπskie,Nizinny
PRZEDB”RZ,51.0868077,19.8744414,≥Ûdzkie,Wyzynny
BIA£OBRZEGI,50.7729192,23.1507229,lubelskie,Wyzynny
JANUSZEWICE,51.3834313,20.2177599,≥Ûdzkie,Wyzynny
ZAWADA,50.0597,21.4839,podkarpackie,Wyzynny
NAREW,53.209306,22.5652113,podlaskie,Pojezierza
SURAØ,52.9491665,22.9563836,podlaskie,Pojezierza
WIZNA,53.1943832,22.3840879,podlaskie,Pojezierza
GR”DEK,49.7683,20.7538,ma≥opolskie,Wyzynny
D•BOWO,53.8007569,17.6097896,pomorskie,Pojezierza
OSOWIEC,52.9271718,22.2601325,podlaskie,Pojezierza
BURZYN,53.277754,22.45417,podlaskie,Pojezierza
RACZKI,53.9889338,22.7826183,podlaskie,Pojezierza
E£K,53.8239583,22.3619165,warmiÒsko-mazurskie,Pojezierza
PISZ,53.6294943,21.8098191,warmiÒsko-mazurskie,Pojezierza
DOBRYLAS,53.282115,21.8635072,podlaskie,Pojezierza
MIKOSZE,53.8081283,21.920958,warmiÒsko-mazurskie,Pojezierza
DOROHUSK,51.1608274,23.803447,lubelskie,Wyzynny
WYSZK”W,52.5928035,21.4584581,mazowieckie,Pojezierza
BRA—SK,52.7454145,22.8328169,podlaskie,Pojezierza
BRUDNICE,53.0735721,19.8721474,mazowieckie,Pojezierza
BORKOWO,52.5611271,20.6639877,mazowieckie,Pojezierza
W£ADYS£AW”W,52.1034535,18.4740621,wielkopolskie,Nizinny
BRODNICA,53.258092,19.3993626,kujawsko-pomorskie,Pojezierza
DZIARNY,53.57294,19.62115,warmiÒsko-mazurskie,Pojezierza
LIDZBARK,53.2628043,19.8231836,warmiÒsko-mazurskie,Pojezierza
KULIGI,53.65016,22.74735,podlaskie,Pojezierza
JEZIORNA,53.5389048,16.4421221,zachodniopomorskie,Pojezierza
CZARNA WODA,53.8441983,18.0984293,pomorskie,Pojezierza
TLE—,53.6146709,18.2686746,kujawsko-pomorskie,Pojezierza
BOØEPOLE SZLACHECKIE,53.976345,18.2298366,pomorskie,Pojezierza
BORUCINO,53.756136,16.0311526,zachodniopomorskie,Pojezierza
GOR CZYNO,54.3,18.2,pomorskie,Nadmorski
PRABUTY,53.755995,19.2044449,pomorskie,Pojezierza
PAS£ K,54.0619,19.6641,warmiÒsko-mazurskie,Nadmorski
NOWE SAD£UKI,54.2596623,19.7150962,warmiÒsko-mazurskie,Nadmorski
W GORZEWO,54.2,21.75,warmiÒsko-mazurskie,Nadmorski
BANIE MAZURSKIE,54.2456955,22.0390966,warmiÒsko-mazurskie,Nadmorski
JAB£ONKA,53.4960002,20.558356,warmiÒsko-mazurskie,Pojezierza
ZB•SZY—,52.2501028,15.9209286,wielkopolskie,Nizinny
DWERNIK,49.2064638,22.6254389,podkarpackie,GÛrski
G£ODOWO,54.04316,17.2036,pomorskie,Nadmorski
PTAKI,52.0460242,21.6488606,mazowieckie,Nizinny
NIEMODLIN,50.6415925,17.6211388,opolskie,Wyzynny
OKONEK,53.5347646,16.8516192,wielkopolskie,Pojezierza
MORSKIE OKO,49.1973771,20.0707166,ma≥opolskie,GÛrski
JAROS£AW,50.0399766,22.6573724,podkarpackie,Wyzynny
PODG”RZE,52.4384441,19.5188247,mazowieckie,Nizinny
KOåCIAN,52.0833694,16.6460888,wielkopolskie,Nizinny
S£UPSK,54.463577,17.020948,pomorskie,Nadmorski
WIS£A,52.380897,20.0867774,mazowieckie,Nizinny
WADOWICE,49.8834484,19.4925345,ma≥opolskie,Wyzynny
SIERADZ,51.5942475,18.7378774,≥Ûdzkie,Nizinny
MOTYL,51.1244948,18.4538741,≥Ûdzkie,Wyzynny
G£OG”W,51.6701928,16.0614037,dolnoúlπskie,Nizinny
GRYFINO,53.2535889,14.4924243,zachodniopomorskie,Pojezierza
DZIA£OSZYN,51.1167859,18.8651624,≥Ûdzkie,Wyzynny
NOWA WIEå PODG”RNA,52.15759,17.60147,wielkopolskie,Nizinny
SZCZERC”W,51.3302964,19.1142823,≥Ûdzkie,Wyzynny
£ASK,51.5929947,19.1334784,≥Ûdzkie,Nizinny
PODD BICE,51.8833,18.95,≥Ûdzkie,Nizinny
KRASZEWICE,51.0679449,19.7877551,≥Ûdzkie,Wyzynny
MOSINA,52.2455834,16.8472591,wielkopolskie,Nizinny
RYCZYW”£,51.68976,21.42152,mazowieckie,Nizinny
DRAWNO,53.2189468,15.7580084,zachodniopomorskie,Pojezierza
DOLSK,51.9866,17.0653695,wielkopolskie,Nizinny
BRANIEWO,54.3825966,19.827344,warmiÒsko-mazurskie,Nadmorski
CHA£UPKI,49.9251425,18.3179213,úlπskie,Wyzynny
UNIEJ”W,51.9741302,18.793245,≥Ûdzkie,Nizinny
G”RKI WIELKIE,49.7721682,18.8525357,úlπskie,Wyzynny
RADZISZ”W,49.9383536,19.8095394,ma≥opolskie,Wyzynny
BORZ CIN,49.9833,20.7167,ma≥opolskie,Wyzynny
GRYB”W,49.6149554,20.9488247,ma≥opolskie,Wyzynny
RYBOTYCZE,49.6556185,22.6448956,podkarpackie,Wyzynny
OSTRO£ KA,53.0833,21.5667,mazowieckie,Pojezierza
NAREWKA,52.8359438,23.757029,podlaskie,Pojezierza
CHRABO£Y,52.8579878,23.1959997,podlaskie,Pojezierza
NowosiÛ≥ki,49.402222,22.288056,podkarpackie,GÛrski
FASTY,53.1697765,23.0580853,podlaskie,Pojezierza
SOCHONIE,53.2069218,23.170605,podlaskie,Pojezierza
ZAWADY,53.1553435,22.6666631,podlaskie,Pojezierza
ZARUZIE,53.1422676,21.8014626,podlaskie,Pojezierza
CZARNOWO,53.8926139,17.6879933,pomorskie,Pojezierza
BORNITY,54.1897498,20.055626,warmiÒsko-mazurskie,Nadmorski
KRAPKOWICE,50.4747406,17.9670987,opolskie,Wyzynny
O£AWA,50.957093,17.2902698,dolnoúlπskie,Wyzynny
MALCZYCE,51.2203518,16.493719,dolnoúlπskie,Wyzynny
åCINAWA,51.4165346,16.4259732,dolnoúlπskie,Wyzynny
NOWA S”L,51.8033431,15.7062381,lubuskie,Nizinny
TURAWA,50.7392667,18.0757762,opolskie,Wyzynny
BYSTRZYCA K£ODZKA,50.2968684,16.652017,dolnoúlπskie,Wyzynny
KAMIENIEC Z•BKOWICKI,50.5229139,16.8736143,dolnoúlπskie,Wyzynny
ZAGRODNO,51.1890084,15.862795,dolnoúlπskie,Wyzynny
CHOJN”W,51.2722894,15.9335241,dolnoúlπskie,Wyzynny
LEåNA,51.0241667,15.2636111,dolnoúlπskie,Wyzynny
£OZY,52.3045932,22.491176,mazowieckie,Nizinny
GUBIN,51.9509156,14.7293172,lubuskie,Nizinny
KLUKI,54.6826451,17.3363149,pomorskie,Nadmorski
SZCZUCIN,50.3090256,21.075161,ma≥opolskie,Wyzynny
D•BLIN,52.92462,18.4078871,kujawsko-pomorskie,Pojezierza
CZELADè,50.3184581,19.0736572,úlπskie,Wyzynny
JORDAN”W,49.6492876,19.8299532,ma≥opolskie,Wyzynny
BRZEèNICA,52.7211922,22.8159652,podlaskie,Pojezierza
NOWOSIELCE,50.0585746,22.4024477,podkarpackie,Wyzynny
W£OCHY,51.05,17.9333,opolskie,Wyzynny
ZWIERZYNIEC,50.6145878,22.9706317,lubelskie,Wyzynny
ZAK£ODZIE,53.72967,15.02339,zachodniopomorskie,Pojezierza
S£OWIK”W,51.45763,20.88498,mazowieckie,Wyzynny
OPOCZNO,51.3782439,20.2931754,≥Ûdzkie,Wyzynny
ODRZYW”£,51.5193078,20.555818,mazowieckie,Nizinny
TRZEåCIANKA,52.9395646,23.4482352,podlaskie,Pojezierza
PROSTKI,53.7005864,22.4324226,warmiÒsko-mazurskie,Pojezierza
WIELBARK,53.3984244,20.9462724,warmiÒsko-mazurskie,Pojezierza
ZABUØE,52.312222,23.041667,mazowieckie,Nizinny
BO∆KI,52.6512834,23.0426375,podlaskie,Pojezierza
SIERPC,52.8529055,19.6675433,mazowieckie,Pojezierza
SMUKA£A,53.1920268,17.9735004,kujawsko-pomorskie,Pojezierza
B•GART,53.9658918,19.3577451,pomorskie,Pojezierza
£OZY,52.3045932,22.491176,mazowieckie,Nizinny
KIKITY,53.9842905,20.8587108,warmiÒsko-mazurskie,Pojezierza
GOLENI”W,53.5656939,14.8299285,zachodniopomorskie,Pojezierza
£OWICZ,52.1012259,19.9474624,≥Ûdzkie,Nizinny
SKRWILNO,53.0166946,19.6247985,kujawsko-pomorskie,Pojezierza
SUPRAåL,53.2100391,23.3360728,podlaskie,Pojezierza
LUBIKOWO,52.5452638,15.7045311,lubuskie,Pojezierza
BONOWICE,50.6219023,19.773887,úlπskie,Wyzynny
KR CIWILK,50.7636,19.1833,úlπskie
KR•G,54.21229,16.70218,zachodniopomorskie,Nadmorski
BRODY POMORSKIE,53.86343,18.75826,pomorskie,Pojezierza
£•KAWICA,54.4157131,16.454568,zachodniopomorskie,Nadmorski
SOCHACZEW,52.2296562,20.2379379,mazowieckie,Nizinny
NOWA WIEå,50.457263,20.82771,úwiÍtokrzyskie,Wyzynny
LUBART”W,51.4660473,22.6052895,lubelskie,Wyzynny
NOWE MIASTO,53.2764,19.57,warmiÒsko-mazurskie,Pojezierza
SPA£A,51.5401769,20.1362048,≥Ûdzkie,Nizinny
PORAJ,51.2836591,19.5335203,≥Ûdzkie,Wyzynny
STRZYØ”W,49.8702087,21.7856291,podkarpackie,Wyzynny
ZAWICHOST,50.8074312,21.8523835,úwiÍtokrzyskie,Wyzynny
M•TK”W,50.051667,19.3725,ma≥opolskie,Wyzynny
DZIA£DOWO,53.2346517,20.1817841,warmiÒsko-mazurskie,Pojezierza
I£AWA,53.5961089,19.5761026,warmiÒsko-mazurskie,Pojezierza
CIEKSYN,52.5742863,20.6677635,mazowieckie,Pojezierza
PILICH,52.4939618,18.3015194,wielkopolskie,Pojezierza
£ODYGOWICE,49.7304647,19.1403324,úlπskie,Wyzynny
KREMPNA,49.5103475,21.5031014,podkarpackie,Wyzynny
KA—CZUGA,49.9843732,22.4131838,podkarpackie,Wyzynny
BRENNA-LEåNICA,49.69794,18.90374,úlπskie,Wyzynny
GD”W,49.9085036,20.1996034,ma≥opolskie,Wyzynny
CZAPLINEK,53.560673,16.2319428,zachodniopomorskie,Pojezierza
W£OC£AWEK,52.6655636,19.0961297,kujawsko-pomorskie,Pojezierza
BALICE,50.08683,19.792135,ma≥opolskie,Wyzynny
£APAN”W,49.8648601,20.2913672,ma≥opolskie,Wyzynny
MNISZEK,51.3656,20.8661,mazowieckie,Wyzynny
MYCZKOWCE,49.4343321,22.4105831,podkarpackie,GÛrski
D•BROWA,50.3182,19.2374,úlπskie,Wyzynny
NOWOGR”D,53.2280804,21.8797908,podlaskie,Pojezierza
TUCHOLA,53.5880901,17.8590414,kujawsko-pomorskie,Pojezierza
SUCHA RZECZKA,53.8916665,23.1921208,podlaskie,Pojezierza
KRZESZOWICE,50.1350246,19.6320164,ma≥opolskie,Wyzynny
RATU£”W,49.3717092,19.8958704,ma≥opolskie,GÛrski
KLIMONT”W,50.6563871,21.4506186,úwiÍtokrzyskie,Wyzynny
GLIWICE,50.294113,18.6657306,úlπskie,Wyzynny
WIERZCHY,51.8139485,18.8902981,≥Ûdzkie,Nizinny
GNIECHOWICE,50.987208,16.83423,dolnoúlπskie,Wyzynny
DOBROMIERZ,50.9103288,16.236091,dolnoúlπskie,Wyzynny
CHE£M,51.1355882,23.4939364,lubelskie,Wyzynny
BOLK”W,50.9220033,16.100499,dolnoúlπskie,Wyzynny
KRZESZ”W,50.4028474,22.3406002,podkarpackie,Wyzynny
I£OWA,51.5006828,15.1984599,lubuskie,Nizinny
WARTA,51.182277,18.7552419,≥Ûdzkie,Wyzynny
KONIN,52.2301933,18.2521112,wielkopolskie,Nizinny
JANOWIEC WIELKOPOLSKI,52.7567264,17.4887698,kujawsko-pomorskie,Pojezierza
BIA£OåLIWIE,53.0999053,17.1228229,wielkopolskie,Pojezierza
D£UGIE,53.86755,22.65419,warmiÒsko-mazurskie,Pojezierza
KRZESZYCE,52.5832825,15.010099,lubuskie,Pojezierza
S£AWNO,54.3629824,16.6789071,zachodniopomorskie,Nadmorski
POLAN”W,54.11921,16.68725,zachodniopomorskie,Nadmorski
WIERZCHUCINO,54.787668,18.000635,pomorskie,Nadmorski
MACZKI,50.2608057,19.2676237,úlπskie,Wyzynny
POR•BKA,53.7031,15.97712,zachodniopomorskie,Pojezierza
LIPOWA,50.7295326,17.4349747,opolskie,Wyzynny
NIEDèWIEDè,53.83889,20.81536,warmiÒsko-mazurskie,Pojezierza
CZCH”W,49.8339446,20.6731487,ma≥opolskie,Wyzynny
WIåLICA,50.3484831,20.6745381,úwiÍtokrzyskie,Wyzynny
DALESZYCE,50.801991,20.8066334,úwiÍtokrzyskie,Wyzynny
NOWY ØMIGR”D,49.6039214,21.523519,podkarpackie,Wyzynny
KR PA G”RNA,51.1511,21.5569,mazowieckie,Wyzynny
BESKO,49.5918349,21.9571794,podkarpackie,Wyzynny
PODGRODZIE,50.0,21.3333,podkarpackie,Wyzynny
SU£”W,51.49939,17.1693482,dolnoúlπskie,GÛrski
KOLNO,53.4016867,21.9360777,podlaskie,Pojezierza
CIECHOLEWY,54.02819,18.57526,pomorskie,Nadmorski
OSIEK,50.5194515,21.4425619,úwiÍtokrzyskie,Wyzynny
BARTOSZYCE,54.2523708,20.8143702,warmiÒsko-mazurskie,Nadmorski
STAWIGUDA,53.6584991,20.4011694,warmiÒsko-mazurskie,Pojezierza
PRZERWANKI,54.1307574,21.9227746,warmiÒsko-mazurskie,Nadmorski
BOLES£AW”W,52.4465,19.54193,mazowieckie,Nizinny
PSZCZYNA,49.9778089,18.9423721,úlπskie,Wyzynny
SZCZAWNICA,49.4266299,20.4761439,ma≥opolskie,GÛrski
PIWNICZNA,49.4406462,20.7142303,ma≥opolskie,GÛrski
SARZYNA,50.3443285,22.3437901,podkarpackie,Wyzynny
KAMIENNA,51.010369,21.2336941,úwiÍtokrzyskie,Wyzynny
åWIDNIK,51.2133,22.7,lubelskie,Wyzynny
KROSNO,49.6938045,21.7651458,podkarpackie,Wyzynny
£•CZNA,50.49505,16.6277699,dolnoúlπskie,Wyzynny
